%% flowcalc run at Thu Jun  2 13:15:35 2016
% modules: coral 

@relation 'Capture_02_06_2016.pcap'

%% flowcalc 0.2
% fc_id:       flow id
% fc_tstamp:   timestamp of first packet in the flow
% fc_duration: flow duration
% fc_proto:    transport protocol
% fc_src_addr: IP address of connection initiator
% fc_src_port: TP port number of connection initiator
% fc_dst_addr: IP address of remote peer
% fc_dst_port: TP port number of remote peer

@attribute fc_id numeric
@attribute fc_tstamp numeric
@attribute fc_duration numeric
@attribute fc_proto {TCP,UDP}
@attribute fc_src_addr string
@attribute fc_src_port numeric
@attribute fc_dst_addr string
@attribute fc_dst_port numeric

%% coral 0.1
% crl_group: protocol group
% crl_name: protocol name
@attribute crl_group string
@attribute class {HTTPS, HTTP, DNS}

@data
526,1464864041.602759,0.566664,TCP,10.0.2.15,45754,176.31.16.193,80,WWW,HTTP
537,1464864041.881825,0.301852,TCP,10.0.2.15,56592,54.228.191.164,443,WWW,HTTPS
559,1464864042.180686,0.004444,TCP,10.0.2.15,43628,193.1.253.136,80,WWW,HTTP
556,1464864042.180312,0.004905,TCP,10.0.2.15,43622,193.1.253.136,80,WWW,HTTP
543,1464864041.900036,0.287004,TCP,10.0.2.15,43620,193.1.253.136,80,WWW,HTTP
557,1464864042.180460,0.021617,TCP,10.0.2.15,45780,176.31.16.193,80,WWW,HTTP
220,1464864031.042489,11.186536,TCP,10.0.2.15,43948,193.1.253.144,80,WWW,HTTP
542,1464864041.899910,0.448175,TCP,10.0.2.15,45774,176.31.16.193,80,WWW,HTTP
363,1464864037.082430,5.268775,TCP,10.0.2.15,57562,96.6.2.194,80,WWW,HTTP
362,1464864037.061724,5.289525,TCP,10.0.2.15,57560,96.6.2.194,80,WWW,HTTP
353,1464864037.020694,5.330580,TCP,10.0.2.15,53022,193.1.253.137,80,WWW,HTTP
342,1464864036.111212,6.250747,TCP,10.0.2.15,41702,93.184.221.200,80,WWW,HTTP
347,1464864036.168576,6.201181,TCP,10.0.2.15,34168,37.252.163.241,80,WWW,HTTP
343,1464864036.152678,6.252349,TCP,10.0.2.15,59554,178.250.0.67,443,WWW,HTTPS
438,1464864039.161227,3.326821,TCP,10.0.2.15,42616,37.252.162.229,80,WWW,HTTP
269,1464864032.295979,10.305383,TCP,10.0.2.15,48932,178.250.0.70,80,WWW,HTTP
205,1464864030.864523,11.760290,TCP,10.0.2.15,45104,185.86.137.17,80,WWW,HTTP
206,1464864030.866142,11.807419,TCP,10.0.2.15,45106,185.86.137.17,80,WWW,HTTP
529,1464864041.611528,1.075004,TCP,10.0.2.15,41050,184.73.198.9,443,WWW,HTTPS
84,1464864027.439955,15.248997,TCP,10.0.2.15,45022,185.86.137.17,80,WWW,HTTP
283,1464864032.844187,10.045476,TCP,10.0.2.15,43410,193.1.253.136,80,WWW,HTTP
561,1464864042.263710,0.667021,TCP,10.0.2.15,57824,178.255.83.1,80,WWW,HTTP
571,1464864042.936392,0.013390,TCP,10.0.2.15,52114,23.2.25.146,80,WWW,HTTP
572,1464864042.936547,0.013313,TCP,10.0.2.15,35774,23.43.75.27,80,WWW,HTTP
530,1464864041.611739,1.343414,TCP,10.0.2.15,40918,54.246.112.35,443,WWW,HTTPS
560,1464864042.263578,0.783026,TCP,10.0.2.15,55906,72.167.239.239,80,WWW,HTTP
434,1464864038.922685,4.130983,TCP,10.0.2.15,47044,46.105.198.136,80,WWW,HTTP
574,1464864042.936780,0.125898,TCP,10.0.2.15,52120,23.2.25.146,80,WWW,HTTP
575,1464864042.936856,0.134590,TCP,10.0.2.15,35780,23.43.75.27,80,WWW,HTTP
193,1464864030.018344,13.152790,TCP,10.0.2.15,34038,37.252.163.241,80,WWW,HTTP
558,1464864042.180556,1.006716,TCP,10.0.2.15,43626,193.1.253.136,80,WWW,HTTP
531,1464864041.611903,1.649161,TCP,10.0.2.15,48404,46.228.164.11,443,WWW,HTTPS
389,1464864037.923730,5.343168,TCP,10.0.2.15,45290,80.70.210.158,80,WWW,HTTP
576,1464864043.141875,0.278456,TCP,10.0.2.15,40956,54.246.112.35,443,WWW,HTTPS
